lease_id,property_id,tenant_name,unit,sqft,lease_start,lease_end,base_rent_monthly,escalation_pct,escalation_month,renewal_option,status
L-102,P001,Harbor & Finch LLP,001-01,14617,2023-03-23,2026-07-10,34000,0.04,3,no,expiring
L-101,P001,Oakridge Tax Services,001-02,13964,2025-10-09,2029-07-09,33746,0.03,10,no,active
L-102,P001,Brightpath Engineering,001-03,13893,2023-03-16,2026-07-16,54414,0.035,3,yes,expiring
L-103,P001,Ironwood Architecture,001-04,14787,2023-01-13,2027-11-13,35735,0.04,1,yes,active
L-104,P001,Crescent Capital Advisors,001-05,14516,2023-10-12,2027-04-12,42338,0.03,10,no,active
L-105,P001,Caldera Biotech Inc.,001-06,14993,2024-08-11,2029-05-11,64970,0.03,8,yes,active
L-106,P001,Pivot Health Partners,001-07,14743,2025-07-22,2029-11-22,65115,0.04,7,yes,active
L-107,P001,Northstar Analytics,001-08,14652,2025-03-12,2029-04-12,56166,0.025,3,no,active
L-108,P001,Vantage Wealth Management,001-09,14271,2023-05-28,2027-03-28,34488,0.025,5,no,active
L-109,P001,Lumen Digital Labs,001-10,14021,2023-11-05,2029-06-05,31547,0.03,11,yes,active
L-110,P002,Copperleaf Home Goods,002-01,6634,2024-03-20,2031-03-20,26536,0.025,3,yes,active
L-111,P002,Third Avenue Books,002-02,6720,2024-08-08,2028-09-08,17920,0.035,8,yes,active
L-112,P002,Wildflower Wellness,002-03,7444,2024-06-07,2029-07-07,18610,0.035,6,yes,active
L-113,P002,Pacific Table Bistro,002-04,6759,2024-12-02,2030-04-02,16898,0.025,12,yes,active
L-114,P002,The Daily Grocer,002-05,6746,2024-12-09,2027-02-09,14054,0.035,12,yes,active
L-115,P002,Stonefire Pizzeria,002-06,6825,2023-04-08,2029-05-08,23319,0.03,4,yes,active
L-116,P002,Atlas Outfitters,002-07,7000,2023-04-26,2027-07-26,25667,0.025,4,no,active
L-117,P002,Bluebird Bakery,002-08,6619,2024-04-16,2031-04-16,17651,0.03,4,no,active
L-118,P002,Lantern & Leaf,002-09,7348,2023-06-24,2029-10-24,23881,0.035,6,yes,active
L-119,P002,Studio Velo Cycling,002-10,6764,2025-05-24,2029-03-24,24801,0.025,5,yes,active
L-120,P002,Blue Anchor Coffee Co.,002-11,6696,2025-09-07,2029-02-07,13950,0.03,9,yes,active
L-121,P002,Mercer & Co. Apparel,002-12,6738,2024-05-28,2027-09-28,14038,0.035,5,yes,active
L-122,P002,Studio Velo Cycling,002-13,7325,2023-07-27,2028-03-27,21975,0.025,7,yes,active
L-301,P003,Meridian Consulting Group,301-A,18500,2024-01-01,2029-01-01,45000,0.04,1,yes,active
L-302,P003,Copperleaf Home Goods,302-R,12400,2024-01-01,2030-01-01,32000,0.035,1,yes,active
L-125,P003,Stonefire Pizzeria,003-03,10669,2023-05-31,2030-03-03,32007,0.035,5,yes,active
L-126,P003,Mercer & Co. Apparel,003-04,10724,2023-09-20,2028-06-20,31278,0.035,9,yes,active
L-127,P003,Copperleaf Home Goods,003-05,11511,2023-09-04,2027-03-04,47963,0.035,9,no,active
L-128,P003,Wildflower Wellness,003-06,10814,2024-12-06,2031-05-06,42355,0.03,12,yes,active
L-129,P003,Blue Anchor Coffee Co.,003-07,11392,2025-05-24,2028-10-24,38923,0.04,5,yes,active
L-130,P003,Pivot Health Partners,003-08,11107,2023-10-03,2029-05-03,39800,0.025,10,no,active
