entry_id,project_id,date,cost_code,category,vendor,amount,description
C-1000,P-101,2026-02-07,01-100,General Conditions,Ironclad Steel Co.,31442.67,General Conditions — progress 1
C-1001,P-101,2026-02-09,01-100,General Conditions,Pacific Concrete Supply,17968.89,General Conditions — progress 2
C-1002,P-101,2026-01-17,09-200,Drywall,Kingfisher Glazing,2627.5,Drywall — progress 3
C-1003,P-101,2026-02-22,02-300,Earthwork,Ironclad Steel Co.,21533.95,Earthwork — progress 4
C-1004,P-101,2026-04-15,09-200,Drywall,BlueOak Plumbing,39232.59,Drywall — progress 5
C-1005,P-101,2026-03-27,06-100,Rough Carpentry,Summit Drywall Partners,48649.36,Rough Carpentry — progress 6
C-1006,P-101,2026-03-28,05-100,Structural Steel,BlueOak Plumbing,19647.35,Structural Steel — progress 7
C-1007,P-101,2026-01-30,15-400,Plumbing,Cornerstone Millwork,60411.98,Plumbing — progress 8
C-1008,P-101,2026-03-01,22-000,Site Utilities,Ironclad Steel Co.,9669.47,Site Utilities — progress 9
C-1009,P-101,2026-03-09,07-500,Roofing,Ironclad Steel Co.,40535.78,Roofing — progress 10
C-1010,P-101,2026-01-25,22-000,Site Utilities,Pacific Concrete Supply,19017.29,Site Utilities — progress 11
C-1011,P-101,2026-02-18,02-300,Earthwork,Summit Drywall Partners,9039.82,Earthwork — progress 12
C-1012,P-101,2026-01-02,07-500,Roofing,Summit Drywall Partners,38105.48,Roofing — progress 13
C-1013,P-101,2026-03-14,16-100,Electrical,Kingfisher Glazing,19976.88,Electrical — progress 14
C-1014,P-101,2026-01-28,22-000,Site Utilities,Summit Drywall Partners,58166.95,Site Utilities — progress 15
C-1015,P-101,2026-03-17,03-300,Concrete,Apex Earthworks,45686.65,Concrete — progress 16
C-1016,P-101,2026-01-03,01-100,General Conditions,Pacific Concrete Supply,31730.98,General Conditions — progress 17
C-1017,P-101,2025-12-26,03-300,Concrete,Brightway Electric,46695.85,Concrete — progress 18
C-1018,P-101,2026-03-03,03-300,Concrete,Brightway Electric,42997.97,Concrete — progress 19
C-1019,P-101,2026-02-05,02-300,Earthwork,ProMech HVAC,22149.21,Earthwork — progress 20
C-1020,P-101,2026-04-06,02-300,Earthwork,Apex Earthworks,24539.76,Earthwork — progress 21
C-1021,P-101,2026-02-04,02-300,Earthwork,BlueOak Plumbing,59209.49,Earthwork — progress 22
C-1022,P-101,2026-02-22,03-300,Concrete,Apex Earthworks,4199.78,Concrete — progress 23
C-1023,P-101,2026-03-18,05-100,Structural Steel,Brightway Electric,22424.55,Structural Steel — progress 24
C-1024,P-101,2025-12-23,09-200,Drywall,Pacific Concrete Supply,64347.93,Drywall — progress 25
C-1025,P-101,2026-02-13,05-100,Structural Steel,Riverstone Roofing,26354.21,Structural Steel — progress 26
C-1026,P-101,2026-01-29,06-100,Rough Carpentry,ProMech HVAC,22826.82,Rough Carpentry — progress 27
C-1027,P-101,2026-02-21,15-400,Plumbing,Brightway Electric,36170.65,Plumbing — progress 28
C-1028,P-101,2026-03-13,05-100,Structural Steel,Brightway Electric,21714.65,Structural Steel — progress 29
C-1029,P-101,2026-04-01,15-400,Plumbing,ProMech HVAC,21035.46,Plumbing — progress 30
C-1030,P-101,2026-04-16,09-200,Drywall,ProMech HVAC,14373.77,Drywall — progress 31
C-1031,P-101,2026-01-26,22-000,Site Utilities,Pacific Concrete Supply,53130.68,Site Utilities — progress 32
C-1032,P-101,2026-01-07,09-200,Drywall,Riverstone Roofing,55199.25,Drywall — progress 33
C-1033,P-101,2026-04-04,15-400,Plumbing,ProMech HVAC,52752.2,Plumbing — progress 34
C-1034,P-101,2026-02-15,22-000,Site Utilities,Kingfisher Glazing,32815.74,Site Utilities — progress 35
C-1035,P-101,2026-01-22,01-100,General Conditions,Summit Drywall Partners,5335.65,General Conditions — progress 36
C-1036,P-101,2026-01-30,16-100,Electrical,BlueOak Plumbing,64859.99,Electrical — progress 37
C-1037,P-101,2026-01-11,02-300,Earthwork,Riverstone Roofing,39456.54,Earthwork — progress 38
C-1038,P-101,2026-01-06,15-400,Plumbing,BlueOak Plumbing,23690.77,Plumbing — progress 39
C-1039,P-101,2026-03-13,02-300,Earthwork,Ironclad Steel Co.,10714.88,Earthwork — progress 40
C-1040,P-101,2026-04-11,15-400,Plumbing,Kingfisher Glazing,47910.97,Plumbing — progress 41
C-1041,P-101,2026-02-25,16-100,Electrical,Pacific Concrete Supply,10254.55,Electrical — progress 42
C-1042,P-101,2026-04-16,05-100,Structural Steel,Apex Earthworks,29395.38,Structural Steel — progress 43
C-1043,P-101,2026-01-16,16-100,Electrical,Summit Drywall Partners,13711.18,Electrical — progress 44
C-1044,P-101,2026-02-27,07-500,Roofing,ProMech HVAC,30484.53,Roofing — progress 45
C-1045,P-101,2026-03-16,03-300,Concrete,Summit Drywall Partners,33328.7,Concrete — progress 46
C-1046,P-101,2026-02-15,15-400,Plumbing,Ironclad Steel Co.,28934.41,Plumbing — progress 47
C-1047,P-101,2026-04-04,22-000,Site Utilities,Riverstone Roofing,5684.33,Site Utilities — progress 48
C-1048,P-101,2026-02-20,01-100,General Conditions,ProMech HVAC,53580.37,General Conditions — progress 49
C-1049,P-101,2026-03-25,16-100,Electrical,Cornerstone Millwork,37059.31,Electrical — progress 50
C-1050,P-101,2026-01-21,15-400,Plumbing,Kingfisher Glazing,52202.4,Plumbing — progress 51
C-1051,P-101,2026-02-17,03-300,Concrete,Ironclad Steel Co.,5860.94,Concrete — progress 52
C-1052,P-101,2026-03-21,15-400,Plumbing,Cornerstone Millwork,43989.5,Plumbing — progress 53
C-1053,P-101,2026-04-19,06-100,Rough Carpentry,Kingfisher Glazing,22631.07,Rough Carpentry — progress 54
C-1054,P-101,2026-02-16,05-100,Structural Steel,Brightway Electric,61900.05,Structural Steel — progress 55
C-1055,P-101,2026-02-18,02-300,Earthwork,Summit Drywall Partners,61192.49,Earthwork — progress 56
C-1056,P-101,2026-01-14,06-100,Rough Carpentry,Summit Drywall Partners,32892.13,Rough Carpentry — progress 57
C-1057,P-101,2026-01-29,09-200,Drywall,Cornerstone Millwork,36337.49,Drywall — progress 58
C-1058,P-101,2026-01-20,06-100,Rough Carpentry,Kingfisher Glazing,41679.96,Rough Carpentry — progress 59
C-1059,P-101,2026-03-06,02-300,Earthwork,Riverstone Roofing,21588.94,Earthwork — progress 60
C-1060,P-101,2026-03-12,09-200,Drywall,Kingfisher Glazing,54828.93,Drywall — progress 61
