wo_id,property_id,description,status,estimated_cost,actual_cost,opened_date,closed_date,capex_flag
WO-9000,P001,Boiler efficiency tune-up,closed,57544,50078,2026-02-26,2026-04-23,true
WO-9001,P001,Security camera firmware upgrade,closed,57138,64267,2025-12-04,2026-04-18,true
WO-9002,P001,Waterproofing — foundation wall,closed,1378,1245,2025-12-02,2026-02-13,false
WO-9003,P001,Boiler efficiency tune-up,closed,9188,8652,2025-12-15,2026-02-08,false
WO-9004,P001,Boiler efficiency tune-up,open,9660,0,2026-01-14,,false
WO-9005,P001,HVAC rooftop unit compressor replacement,closed,4438,3908,2025-11-14,2026-01-18,false
WO-9006,P002,Waterproofing — foundation wall,open,6411,0,2026-03-28,,false
WO-9007,P002,Signage update — new tenant,closed,11658,12745,2025-11-03,2025-11-12,false
WO-9008,P002,Landscape irrigation overhaul,closed,87290,91572,2025-11-06,2026-01-11,true
WO-9009,P002,Parking lot crack sealing,closed,6342,6649,2026-01-01,2026-04-16,false
WO-9010,P002,Elevator modernization phase 1,open,133827,0,2026-01-07,,true
WO-9011,P002,HVAC rooftop unit compressor replacement,closed,9022,9990,2025-11-24,2026-04-09,false
WO-9012,P002,Fire panel annual service,open,54082,0,2026-02-15,,true
WO-9013,P002,Elevator modernization phase 1,closed,3868,4013,2026-01-29,2026-02-08,false
WO-9014,P002,Landscape irrigation overhaul,closed,110252,123517,2026-01-23,2026-04-23,true
WO-9015,P002,Elevator modernization phase 1,open,10969,0,2026-02-21,,false
WO-9016,P002,Waterproofing — foundation wall,closed,814,932,2026-03-04,2026-04-12,false
WO-9017,P002,Roof membrane leak repair,in_progress,7141,0,2026-02-16,,false
WO-9018,P003,HVAC rooftop unit compressor replacement,closed,143283,125344,2026-03-05,2026-04-18,true
WO-9019,P003,HVAC rooftop unit compressor replacement,open,6533,0,2025-12-06,,false
WO-9020,P003,Landscape irrigation overhaul,closed,9169,8921,2026-02-22,2026-04-20,false
WO-9021,P003,Lobby lighting retrofit to LED,closed,5621,5555,2025-11-07,2026-04-16,false
WO-9022,P003,Boiler efficiency tune-up,closed,3319,3451,2026-04-09,2026-04-18,false
